title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price,media_course_effort,price_extracted,length_extracted,ingreso_por_curso,esfuerzo_total,esfuerzo_group,log_n_enrolled,esfuerzo_group_str
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,6,8402526,24.0,"(20.0, 30.0]",11.348923082759187,"(20.0, 30.0]"
Successful Negotiation: Essential Strategies and Skills,31369,Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,English,2–4 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,7,1537081,21.0,"(20.0, 30.0]",10.353575423086568,"(20.0, 30.0]"
Data Science: Linear Regression,75310,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,1.5,49,8,3690190,12.0,"(10.0, 20.0]",11.229368207095398,"(10.0, 20.0]"
HTML5 and CSS Fundamentals,335895,Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,5.0,199,6,66843105,30.0,"(20.0, 30.0]",12.72455389010704,"(20.0, 30.0]"
Data Science: Productivity Tools,66683,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,1.5,49,8,3267467,12.0,"(10.0, 20.0]",11.107705326854465,"(10.0, 20.0]"
Introduction to Corporate Finance,98093,Self-paced on your time,Columbia University,Introductory,Business & Management,English,English,3–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $225 USD,3.5,225,4,22070925,14.0,"(10.0, 20.0]",11.493671287248082,"(10.0, 20.0]"
Computer Science 101,39540,Self-paced on your time,Stanford University,Introductory,Computer Science,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $149 USD,5.0,149,6,5891460,30.0,"(20.0, 30.0]",10.585068096724608,"(20.0, 30.0]"
Data Science: Wrangling,64584,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,1.5,49,8,3164616,12.0,"(10.0, 20.0]",11.075721981074851,"(10.0, 20.0]"
A Hands-on Introduction to Engineering Simulations,187138,Self-paced on your time,Cornell University,Intermediate,Engineering,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,5.0,199,6,37240462,30.0,"(20.0, 30.0]",12.139601591586732,"(20.0, 30.0]"
AI for Everyone: Master the Basics,49340,Self-paced on your time,IBM,Introductory,Computer Science,English,English,1–2 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,1.5,49,4,2417660,6.0,"(0.0, 10.0]",10.806490390083347,"(0.0, 10.0]"
The Psychology of Criminal Justice,110086,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,English,1–2 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,1.5,99,8,10898514,12.0,"(10.0, 20.0]",11.609017157495737,"(10.0, 20.0]"
Machine Learning with Python: A Practical Introduction,80161,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,English,4–6 hours per week,5 Weeks,FREE-Add a Verified Certificate for $39 USD,5.0,39,5,3126279,25.0,"(20.0, 30.0]",11.291792391290778,"(20.0, 30.0]"
Analyzing Data with Python,94079,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,English,2–4 hours per week,5 Weeks,FREE-Add a Verified Certificate for $39 USD,3.0,39,5,3669081,15.0,"(10.0, 20.0]",11.451890133824262,"(10.0, 20.0]"
Excel: gestión de datos,111785,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,Español,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $75 USD,5.0,75,6,8383875,30.0,"(20.0, 30.0]",11.62433266254436,"(20.0, 30.0]"
Probability - The Science of Uncertainty and Data,205615,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Data Analysis & Statistics,English,English,10–14 hours per week,16 Weeks,FREE-Add a Verified Certificate for $300 USD,12.0,300,16,61684500,192.0,"(100.0, inf]",12.233760767100344,"(100.0, inf]"
"Fundamentals of Neuroscience, Part 3: The Brain",85034,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,English,English,3–5 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,8,8418366,32.0,"(30.0, 40.0]",11.35080645549378,"(30.0, 40.0]"
Sikhism Through Its Scriptures,44125,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,7.5,99,4,4368375,30.0,"(20.0, 30.0]",10.694781794235597,"(20.0, 30.0]"
