name,institution,course_id,media_rating,num_ratings
Natural Language Processing with Attention Models,DeepLearning.AI,attention-models-in-nlp,3.326530612244898,49.0
What is Compliance?,University of Pennsylvania,what-is-compliance,4.798319327731092,357.0
Getting Started with Google Sheets,Google Cloud,getting-started-with-google-sheets,4.669245647969052,517.0
Data Visualization with Python,IBM,python-for-data-visualization,4.057674702471773,3277.0
Foundations of Mindfulness,Rice University,foundations-of-mindfulness,4.82051282051282,117.0
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,negociacion,4.800307219662058,1953.0
Data-driven Decision Making,PwC,decision-making,4.517316017316017,2772.0
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,fe-exam,4.430051813471502,386.0
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,gender-sexuality,4.709677419354839,279.0
Managerial Accounting Fundamentals,University of Virginia,uva-darden-managerial-accounting,4.87012987012987,231.0
Search Engine Optimization Fundamentals,"University of California, Davis",seo-fundamentals,4.716129032258064,1395.0
Essentials of Global Health,Yale University,essentials-global-health,4.862420382165605,785.0
International Security Management,Erasmus University Rotterdam,international-security-management,4.610169491525424,177.0
Getting Started with AWS Machine Learning,Amazon Web Services,aws-machine-learning,4.405187835420394,3354.0
Arts and Heritage Management,Università Bocconi,arts-heritage,4.793478260869565,552.0
Understanding Einstein: The Special Theory of Relativity,Stanford University,einstein-relativity,4.891640866873065,1938.0
Réussir le Changement,ESSEC Business School,reussir-le-changement,4.41421568627451,1224.0
Equine Welfare and Management,"University of California, Davis",equine,4.949367088607595,158.0
International migrations: a global issue,Sciences Po,international-migrations,4.295454545454546,132.0
Introduction to Web Development,"University of California, Davis",web-development,4.6602634467618005,1822.0
Writing and Editing: Word Choice and Word Order,University of Michigan,writing-editing-words,4.776699029126213,309.0
Introduction to the Digital Advertising Landscape,University of Colorado Boulder,digital-advertising-landscape,4.465116279069767,129.0
Access Controls,(ISC)²,access-control-sscp,4.572519083969466,131.0
Engineering Project Management: Initiating and Planning,Rice University,initiating-planning,4.795234549516009,1343.0
Kotlin for Java Developers,JetBrains,kotlin-for-java-developers,4.5473251028806585,729.0
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,multivariate-calculus-machine-learning,4.716243654822335,1970.0
Introduction to Git and GitHub,Google,introduction-git-github,4.821520951888257,1933.0
Industrial Biotechnology,University of Manchester   ,industrial-biotech,4.568513119533527,1029.0
The Addicted Brain,Emory University,addiction-and-the-brain,4.546341463414634,1230.0
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,aprendiendo-programar-python,4.225369458128079,2436.0
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,data-lakes-data-warehouses-gcp,4.644549763033176,633.0
Drug Discovery,University of California San Diego,drug-discovery,4.628113879003559,1124.0
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),nutrition-pregnancy,4.809290953545232,1227.0
Financial Acumen for Non-Financial Managers,University of Pennsylvania,finance-healthcare-managers,4.072463768115942,207.0
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,python-statistics-financial-analysis,4.363636363636363,1177.0
Bugs 101: Insect-Human Interactions,University of Alberta,bugs-101,4.955823293172691,747.0
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,autodesk-revit-architectural-design,4.7735191637630665,287.0
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,leading-for-equity-diversity-inclusion,4.78125,96.0
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,marketing-plan,,
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,enterprise-architecture,4.545454545454546,99.0
Introduction to Spreadsheets and Models,University of Pennsylvania,wharton-introduction-spreadsheets-models,3.6344086021505375,1674.0
